date_debut;date_fin;segment_client;conso_a_tr;conso_a_tn;temp_moy_a_tr;temp_moy_a_tn;cons_hist_moy_a_tn;cons_hist_min_a_tn;cons_hist_max_a_tn;cons_hist_moy_a_tr;cons_hist_min_a_tr;cons_hist_max_a_tr;temp_hist_moy_a_tr;temp_hist_min_a_tr;temp_hist_max_a_tr
2022-12-05;2022-12-11;Entreprises;3227429;3094644;3.4;6.1;3348011;3311315;3404782;3305957;3143236;3419406;7.5;5.7;10.8
2022-12-12;2022-12-18;Professionnels;1065652;968176;1.7;5.5;1054851;1047939;1058618;1030090;1002505;1046675;6.4;5.5;7.6
2022-12-19;2022-12-25;Professionnels;828116;935702;9.4;5.1;1042970;1005801;1064019;966774;918533;1003229;7.8;5.1;10.4
2023-01-09;2023-01-15;Residentiels;3490670;4370300;9.0;4.9;4600385;4546409;4686099;4578028;4104979;4880976;4.9;3.8;6.9
2023-01-30;2023-02-05;Residentiels;3985541;4044833;5.9;5.8;4362837;4288824;4442894;4188675;3748068;4764785;6.8;4.2;9.4
2023-02-06;2023-02-12;Professionnels;953879;917498;4.7;6.2;1030033;993370;1078588;1094735;1021034;1170814;3.8;2.6;6.1
2023-02-13;2023-02-19;Entreprises;2921756;3029040;7.8;6.6;3246088;3102630;3324411;3240633;3023173;3420001;6.6;4.8;8.0
2023-02-13;2023-02-19;Residentiels;3519629;3894826;7.8;6.6;4164008;4067579;4230274;4125471;3909130;4432538;6.6;4.8;8.0
2022-09-05;2022-09-11;Professionnels;608528;595920;20.6;18.5;619073;606492;627070;626502;619110;632704;19.7;18.4;21.5
2022-09-12;2022-09-18;Residentiels;1820843;1833864;19.6;17.6;1860024;1800521;1937762;1840042;1788042;1893284;19.1;18.0;19.8
2022-09-26;2022-10-02;Residentiels;2081582;1814005;14.1;15.8;2012853;1939412;2064590;1953657;1875199;2050494;16.6;16.0;17.6
2022-10-10;2022-10-16;Professionnels;637934;654071;15.5;13.9;703024;691991;718282;696542;670625;733155;14.8;12.2;16.9
2022-10-10;2022-10-16;Residentiels;2006490;2185278;15.5;13.9;2259127;2197605;2329102;2201252;1974952;2509155;14.8;12.2;16.9
2022-10-17;2022-10-23;Professionnels;626306;676040;17.7;12.9;728934;712830;749062;701657;673563;738173;15.0;13.3;16.4
2022-11-07;2022-11-13;Residentiels;2523925;3070712;12.2;9.8;3217287;3139309;3302751;3229518;2989763;3455592;9.9;8.7;11.3
2022-12-26;2023-01-01;Professionnels;764656;924068;10.4;4.8;986438;978072;993680;881209;826976;940757;8.4;5.9;10.5
2023-01-16;2023-01-22;Entreprises;3210242;3152914;4.1;5.1;3366229;3227748;3439908;3337895;3196691;3448628;5.7;3.8;7.4
2023-01-23;2023-01-29;Professionnels;1045219;972207;2.4;5.4;1029838;1004383;1056015;1022891;908374;1110245;5.6;3.3;8.8
2023-02-27;2023-03-05;Residentiels;4232758;3548622;4.6;7.5;3856038;3688540;3980037;3920840;3195183;5132089;7.2;1.5;10.6
2022-08-29;2022-09-04;Residentiels;1874700;1876924;22.3;19.4;1846722;1808152;1917283;1851569;1789669;1926158;20.6;19.4;23.0
2022-09-05;2022-09-11;Residentiels;1831432;1852862;20.6;18.5;1845758;1807850;1896754;1834004;1785723;1890224;19.7;18.4;21.5
2022-09-19;2022-09-25;Entreprises;2704986;2703903;15.5;16.7;2838010;2817224;2874810;2887084;2834499;2944908;18.8;17.1;19.9
2022-09-19;2022-09-25;Professionnels;602974;600331;15.5;16.7;636552;627225;646642;636320;624234;649548;18.8;17.1;19.9
2022-11-14;2022-11-20;Entreprises;2821958;2925244;11.0;8.8;3107578;2983713;3178284;3141122;3094295;3197008;8.5;6.4;10.8
2022-11-21;2022-11-27;Professionnels;830092;869176;8.9;7.8;939211;923200;958671;991970;974736;1011551;6.1;5.8;6.6
2022-11-21;2022-11-27;Residentiels;3246858;3495773;8.9;7.8;3683860;3640998;3768581;4096781;4000877;4203469;6.1;5.8;6.6
2022-12-12;2022-12-18;Residentiels;4822348;3970820;1.7;5.5;4401662;4354708;4471300;4238491;4029796;4397209;6.4;5.5;7.6
2022-12-19;2022-12-25;Entreprises;2673386;2887750;9.4;5.1;3201873;3040814;3285905;3072552;3019156;3165600;7.8;5.1;10.4
